symbol,company_name,exchange,sector,type,yahoo_symbol,isin
BANDHANBNK,Bandhan Bank Limited,NSE,Equity,STOCK,BANDHANBNK.NS,INE545U01014
BANG,Bang Overseas Limited,NSE,Equity,STOCK,BANG.NS,INE863I01016
BANKBARODA,Bank of Baroda,NSE,Equity,STOCK,BANKBARODA.NS,INE028A01039
BANKINDIA,Bank of India,NSE,Equity,STOCK,BANKINDIA.NS,INE084A01016
BANSALWIRE,Bansal Wire Industries Limited,NSE,Equity,STOCK,BANSALWIRE.NS,INE0B9K01025
BANSWRAS,Banswara Syntex Limited,NSE,Equity,STOCK,BANSWRAS.NS,INE629D01020
BASF,BASF India Limited,NSE,Equity,STOCK,BASF.NS,INE373A01013
BASML,Bannari Amman Spinning Mills Limited,NSE,Equity,STOCK,BASML.NS,INE186H01022
BATAINDIA,Bata India Limited,NSE,Equity,STOCK,BATAINDIA.NS,INE176A01028
BATLIBOI,Batliboi Limited,NSE,Equity,STOCK,BATLIBOI.NS,INE177C01022
BAYERCROP,Bayer Cropscience Limited,NSE,Equity,STOCK,BAYERCROP.NS,INE462A01022
BBL,Bharat Bijlee Limited,NSE,Equity,STOCK,BBL.NS,INE464A01036
BBOX,Black Box Limited,NSE,Equity,STOCK,BBOX.NS,INE676A01027
BBTC,The Bombay Burmah Trading Corporation Limited,NSE,Equity,STOCK,BBTC.NS,INE050A01025
BBTCL,B&B Triplewall Containers Limited,NSE,Equity,STOCK,BBTCL.NS,INE01EE01011
BCLIND,Bcl Industries Limited,NSE,Equity,STOCK,BCLIND.NS,INE412G01024
BCONCEPTS,Brand Concepts Limited,NSE,Equity,STOCK,BCONCEPTS.NS,INE977Y01011
BCPL,BCPL Railway Infrastructure Limited,NSE,Equity,STOCK,BCPL.NS,INE00SW01015
